Adelphi University,"$38,657 ",,"$15,527 ","$54,184 "
Agnes ScottåÊCollege,"$54,007 ",,"$12,449 ","$66,456 "
Albany College of Pharmacy,"$34,154 ",,"$11,274 ","$45,428 "
Alfred University,"$32,525 ",,"$12,763 ","$45,288 "
Allegheny College,"$44,169 ",,"$11,617 ","$55,786 "
American International College,"$35,849 ",,"$14,092 ","$49,941 "
American University,"$46,647 ",,"$15,107 ","$61,754 "
Amherst College,"$71,240 ",,$0 ,"$71,240 "
Andrews University,"$29,573 ",,"$8,713 ","$38,286 "
Anna Maria College,"$38,615 ",,"$14,446 ","$53,061 "
Arcadia University,"$42,557 ",,"$14,040 ","$56,597 "
Arizona State University,"$11,224 ","$28,467 ","$11,841 ","$40,308 "
Assumption College,"$41,182 ",,"$12,684 ","$53,866 "
Auburn University,"$11,407 ","$30,826 ","$13,865 ","$44,691 "
Ave Maria University,"$20,769 ",,"$11,300 ","$32,069 "
Babson College,"$48,655 ",,"$15,991 ","$64,646 "
Bard College,"$55,022 ",,"$15,122 ","$70,144 "
Barnard College,"$52,917 ",,"$16,744 ","$69,661 "
Barry University,"$29,952 ",,"$11,024 ","$40,976 "
Barton College,"$31,198 ",,"$10,250 ","$41,448 "
Bates College,"$52,322 ",,"$14,758 ","$67,080 "
Bay Path University,"$34,899 ",,"$13,311 ","$48,210 "
Baylor University,"$42,842 ",,"$13,560 ","$56,402 "
Becker College,"$39,988 ",,"$13,832 ","$53,820 "
Belmont University,"$34,133 ",,"$11,336 ","$45,469 "
Bennington College,"$53,997 ",,"$15,642 ","$69,639 "
Bentley University,"$49,920 ",,"$16,349 ","$66,269 "
Berklee College of Music,"$44,460 ",,"$18,907 ","$63,367 "
Bethel University,"$37,658 ",,"$10,754 ","$48,412 "
Biola University,"$39,986 ",,"$10,648 ","$50,634 "
Bluffton University,"$32,939 ",,"$10,903 ","$43,842 "
Boston College,"$56,057 ",,"$14,708 ","$70,765 "
Boston University,"$54,165 ",,"$15,881 ","$70,046 "
Bowdoin College,"$53,922 ",,"$14,697 ","$68,619 "
Brandeis University,"$55,309 ",,"$15,502 ","$70,811 "
Bridgewater State University,"$10,568 ","$16,954 ","$13,069 ","$30,023 "
Brigham Young University,"$11,357 ",,"$8,296 ","$19,653 "
Brown University,"$55,556 ",,"$14,581 ","$70,137 "
Bryant University,"$43,368 ",,"$16,010 ","$59,378 "
Bryn Mawr College,"$52,146 ",,"$16,546 ","$68,692 "
Bucknell University,"$56,145 ",,"$13,676 ","$69,821 "
Butler University,"$41,454 ",,"$13,551 ","$55,005 "
California Polytechnic State University San Luis Obispo,"$9,809 ","$22,164 ","$13,641 ","$35,805 "
Calvin College,"$34,424 ",,"$10,390 ","$44,814 "
Carnegie Mellon University,"$55,765 ",,"$14,335 ","$70,100 "
Case Western Reserve University,"$49,400 ",,"$15,375 ","$64,775 "
Castleton State College,"$12,449 ","$28,862 ","$10,702 ","$39,564 "
Catholic University of America,"$45,822 ",,"$14,889 ","$60,711 "
Cedarville University,"$30,322 ",,"$7,372 ","$37,694 "
Central Connecticut State University,"$10,591 ","$23,789 ","$12,913 ","$36,702 "
Centre College,"$52,707 ",,$0 ,"$52,707 "
Champlain College,"$41,411 ",,"$15,502 ","$56,913 "
Chapman University,"$52,472 ",,"$5,207 ","$57,679 "
Claremont McKenna College,"$54,692 ",,"$16,869 ","$71,561 "
Clark Atlanta University,"$22,768 ",,"$8,776 ","$31,544 "
Clark University,"$46,176 ",,"$9,843 ","$56,019 "
Clarkson University,"$49,868 ",,"$15,386 ","$65,254 "
Clemson University,"$15,300 ","$37,080 ","$10,167 ","$47,247 "
Coastal Carolina University,"$11,648 ","$26,907 ","$9,506 ","$36,413 "
Colby College,"$69,451 ",,$0 ,"$69,451 "
Colby-Sawyer College,"$42,001 ",,"$14,196 ","$56,197 "
Colgate University,"$56,139 ",,"$14,061 ","$70,200 "
College of Charleston,"$12,478 ","$31,601 ","$11,845 ","$43,446 "
College of Mount Saint Vincent,"$38,584 ",,"$9,880 ","$48,464 "
College of New Jersey,"$16,794 ","$28,680 ","$13,728 ","$42,408 "
College of New Rochelle,"$38,083 ",,"$14,701 ","$52,784 "
College of Saint Rose,"$32,920 ",,"$12,850 ","$45,770 "
College of the Atlantic,"$45,284 ",,"$10,137 ","$55,421 "
College of the Holy Cross,"$52,759 ",,"$14,238 ","$66,997 "
College of William and Mary,"$22,926 ","$45,417 ","$12,271 ","$57,688 "
College of Wooster,"$50,544 ",,"$11,856 ","$62,400 "
Colorado College,"$54,931 ",,"$12,559 ","$67,490 "
Colorado School of Mines,"$19,745 ","$38,933 ","$12,373 ","$51,306 "
Colorado State University,"$12,097 ","$30,306 ","$12,696 ","$43,002 "
Columbia College (Chicago),"$26,603 ",,"$13,368 ","$39,971 "
Columbia University,"$56,684 ",,"$14,754 ","$71,438 "
Concordia College New York,"$32,864 ",,"$12,351 ","$45,215 "
Connecticut College,"$70,138 ",,$0 ,"$70,138 "
Cornell College,"$42,526 ",,"$9,474 ","$52,000 "
Cornell University,"$36,902 ","$54,967 ","$14,903 ","$69,870 "
Culinary Institute of America,"$32,880 ",,"$11,305 ","$44,185 "
Curry College,"$40,140 ",,"$15,324 ","$55,464 "
Dartmouth College,"$55,068 ",,"$15,765 ","$70,833 "
Davidson College,"$51,947 ",,"$14,512 ","$66,459 "
Dean College,"$39,614 ",,"$17,000 ","$56,614 "
Delaware State University,"$7,320 ","$17,287 ","$11,890 ","$29,177 "
Denison University,"$52,458 ",,"$12,823 ","$65,281 "
DePaul University,"$39,946 ",,"$17,100 ","$57,046 "
DePauw University,"$49,752 ",,"$13,116 ","$62,868 "
DeSales University,"$37,544 ",,"$13,312 ","$50,856 "
Dickinson College,"$55,047 ",,"$13,765 ","$68,812 "
Drew University,"$48,840 ",,"$13,828 ","$62,668 "
Drexel University,"$54,118 ",,"$14,446 ","$68,564 "
Duke University,"$55,894 ",,"$16,120 ","$72,014 "
Duquesne University,"$37,850 ",,"$12,599 ","$50,449 "
Earlham College,"$47,580 ",,"$10,317 ","$57,897 "
East Carolina University,"$7,429 ","$24,357 ","$10,228 ","$34,585 "
Eastern Connecticut State University,"$11,356 ","$24,552 ","$13,530 ","$38,082 "
Eastern Nazarene College,"$33,051 ",,"$9,707 ","$42,758 "
Eastern University,"$33,363 ",,"$11,419 ","$44,782 "
Eastern Washington University,"$7,229 ","$24,277 ","$11,383 ","$35,660 "
Eckerd College,"$44,766 ",,"$12,648 ","$57,414 "
Elmira College,"$43,576 ",,"$12,480 ","$56,056 "
Elms College,"$35,961 ",,"$13,171 ","$49,132 "
Elon University,"$35,644 ",,"$12,344 ","$47,988 "
Embry Riddle Aeronautical University,"$34,461 ",,"$11,544 ","$46,005 "
Emerson College,"$46,625 ",,"$17,672 ","$64,297 "
Emmanuel College,"$40,398 ",,"$15,213 ","$55,611 "
Emory University,"$51,368 ",,"$14,450 ","$65,818 "
Endicott College,"$33,440 ",,"$15,683 ","$49,123 "
Fairfield University,"$49,754 ",,"$14,851 ","$64,605 "
Fairleigh Dickinson University-Teaneck,"$39,955 ",,"$13,609 ","$53,564 "
Fashion Institute of Technology,"$7,760 ","$21,823 ","$14,503 ","$36,326 "
Fisher College,"$31,771 ",,"$16,919 ","$48,690 "
Fitchburg State University,"$10,580 ","$16,903 ","$10,962 ","$27,865 "
Florida Atlantic University,"$5,649 ","$20,209 ","$12,382 ","$32,591 "
Florida Gulf Coast University,"$6,363 ","$26,167 ","$10,059 ","$36,226 "
Florida Institute of Technology,"$38,376 ",,"$11,523 ","$49,899 "
Florida Southern College,"$36,165 ",,"$11,652 ","$47,817 "
Florida State University,"$6,777 ","$22,550 ","$11,043 ","$33,593 "
Fordham University,"$52,128 ",,"$16,770 ","$68,898 "
